,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,uri,playlists
125,0.993,0.424,0.0105,0.837,0.0765,-35.031,0.0482,100.35,spotify:track:2ltThiaBxhawriLFKNBlXb,piano_classical
126,0.996,0.325,0.00809,0.851,0.0834,-34.692,0.0466,75.187,spotify:track:0yDi0ZUQhQZmSYKoO5tSsD,piano_classical
127,0.985,0.345,0.0713,0.926,0.087,-27.943,0.0442,94.54,spotify:track:5yG1m4Way7ALW8siqAzTVv,piano_classical
128,0.992,0.44,0.12,0.861,0.1,-24.167,0.118,172.396,spotify:track:3hRklrqWdxAQ5DTiLhnLSz,piano_classical
129,0.994,0.403,0.0228,0.831,0.112,-32.912,0.0504,133.936,spotify:track:5pq7mvoGwApUNy0AdhSsTQ,piano_classical
130,0.993,0.586,0.121,0.901,0.0859,-19.306,0.0795,108.208,spotify:track:5c6BR9vEYpkdf53rVJjMJn,piano_classical
131,0.996,0.559,0.0133,0.949,0.165,-32.566,0.106,140.086,spotify:track:7f1AQTxrIkPm7lf0DXajjs,piano_classical
132,0.994,0.359,0.036,0.899,0.106,-35.947,0.0513,70.376,spotify:track:10m3UwPrFR9NfaM4plha1g,piano_classical
133,0.993,0.411,0.0232,0.801,0.131,-23.117,0.083,90.196,spotify:track:79B7aTKnpDLKCFh2SjS5Rm,piano_classical
134,0.995,0.529,0.0156,0.937,0.118,-24.458,0.194,94.072,spotify:track:4tgAxUYh2QfklZLyMZT1Rq,piano_classical
135,0.984,0.357,0.235,0.912,0.094,-20.305,0.0408,98.087,spotify:track:0SSUKVTDtSpfgVkhWeac3T,piano_classical
136,0.995,0.339,0.00902,0.831,0.102,-30.724,0.0908,172.618,spotify:track:2ZjtMQy0JB9zigm2Wk5emI,piano_classical
137,0.993,0.459,0.13,0.904,0.0917,-21.183,0.0687,117.77,spotify:track:69lyaUxEh9I0IV3zYtPSYC,piano_classical
138,0.993,0.528,0.00375,0.927,0.0848,-38.358,0.0545,119.01,spotify:track:3M2839dE8s5ByPtILVf11n,piano_classical
139,0.993,0.578,0.0245,0.941,0.058,-29.684,0.217,65.709,spotify:track:6Xb2BJWWvCp6qsVU4gCOUL,piano_classical
140,0.99,0.481,0.132,0.861,0.0941,-23.372,0.0581,102.173,spotify:track:0Lq4FaqMGgvE3MnOeXsUan,piano_classical
141,0.994,0.387,0.0141,0.844,0.14,-32.449,0.0616,110.064,spotify:track:7dJHyYZD6QlS4VhnpbFWnh,piano_classical
142,0.994,0.482,0.00215,0.949,0.0683,-30.481,0.117,73.489,spotify:track:1zHYmNSSiVcJHMoubhRXlz,piano_classical
143,0.99,0.447,0.0693,0.955,0.0967,-22.302,0.0554,68.531,spotify:track:0nP09jeLvIg5EuvtsKGTrx,piano_classical
144,0.99,0.479,0.104,0.906,0.0664,-24.82,0.0839,74.427,spotify:track:5tS1dExNGKFp62573NKO29,piano_classical
145,0.994,0.404,0.0121,0.928,0.111,-27.405,0.0541,83.544,spotify:track:6IlrjrHn8iCBzejRKkZWSo,piano_classical
146,0.992,0.45,0.0398,0.919,0.101,-24.262,0.061,98.329,spotify:track:43fyCWWPPEV3wnJAAdfjor,piano_classical
147,0.993,0.369,0.13,0.778,0.217,-27.914,0.0635,74.501,spotify:track:0pk62GtOAsFpgvC9gnHdB6,piano_classical
148,0.992,0.574,0.00283,0.937,0.0989,-33.221,0.261,77.705,spotify:track:5X3ZbxEQHC1kZdgjDlugNR,piano_classical
149,0.99,0.495,0.0119,0.907,0.088,-27.708,0.0633,82.783,spotify:track:53HXVvJtu7dusOxRY75Vmc,piano_classical
150,0.994,0.431,0.0359,0.878,0.101,-27.93,0.0578,124.627,spotify:track:7my2nMJ3x1dHf4Y7r8nhdK,piano_classical
151,0.995,0.597,0.0324,0.968,0.124,-33.949,0.125,74.018,spotify:track:0Y0AbHyqXjdBhV0X2yFZfl,piano_classical
152,0.993,0.441,0.0194,0.917,0.095,-26.888,0.0563,128.059,spotify:track:4K9UOQqyrE5n86Gm4RcWFJ,piano_classical
153,0.989,0.497,0.00888,0.935,0.112,-29.794,0.0557,114.223,spotify:track:003D2BnS7FqsKiAtZDqIKO,piano_classical
154,0.991,0.536,0.00674,0.93,0.101,-31.151,0.063,111.432,spotify:track:5ZJKcJB80rq55EQw14FVAL,piano_classical
155,0.992,0.596,0.0155,0.957,0.0824,-26.193,0.116,86.911,spotify:track:22JWsriOwB20BQyNXBWPeB,piano_classical
156,0.992,0.533,0.0487,0.971,0.108,-23.11,0.0853,102.406,spotify:track:593QHYjqEOeTm29co7hhtG,piano_classical
157,0.992,0.576,0.0314,0.885,0.115,-25.951,0.0557,70.111,spotify:track:0iZwR7L3YoesnwdDMeYE8q,piano_classical
158,0.996,0.46,0.00721,0.97,0.0835,-39.214,0.0543,62.563,spotify:track:2DFY4ouKwXWkfo1fcZMLdY,piano_classical
159,0.992,0.446,0.0857,0.926,0.244,-22.727,0.0361,111.862,spotify:track:4VottPudNPOXNVB7owVwfK,piano_classical
160,0.994,0.407,0.0407,0.857,0.0724,-31.505,0.0569,86.883,spotify:track:0ctUzJlZ3kzQmGMTd9PQca,piano_classical
161,0.994,0.549,0.0192,0.928,0.0702,-32.2,0.0483,97.226,spotify:track:7xnnRRKzfmaED35IyvOTg1,piano_classical
162,0.992,0.36,0.00867,0.93,0.0604,-28.394,0.054,65.317,spotify:track:0utzl0E5b9ahI9SRh5ZwRi,piano_classical
163,0.989,0.397,0.171,0.922,0.127,-23.137,0.0347,136.285,spotify:track:6PPoxMUyvKoJZaKaPu3WtG,piano_classical
164,0.993,0.277,0.0464,0.898,0.14,-32.703,0.0391,71.674,spotify:track:0xP1N0L8EIVMrGNpTfatl1,piano_classical
165,0.99,0.472,0.125,0.935,0.0865,-22.91,0.0369,76.699,spotify:track:5HLRIWcjQKwGy3LFcK8QX8,piano_classical
166,0.991,0.609,0.00164,0.952,0.117,-21.179,0.258,130.469,spotify:track:1X5XZZljEczwJs0Rrt8MfS,piano_classical
167,0.995,0.56,0.00222,0.931,0.0692,-31.055,0.343,132.795,spotify:track:4TfrtNRaJY4GD4UMWfqblD,piano_classical
168,0.993,0.537,0.004,0.941,0.106,-24.859,0.0712,72.439,spotify:track:7j2Toy5zY8QznCenfu8KMu,piano_classical
169,0.993,0.586,0.00827,0.94,0.107,-25.089,0.495,78.587,spotify:track:6VtNNeIzOWgChm8bRdeXyI,piano_classical
170,0.996,0.592,0.00205,0.958,0.0891,-35.127,0.243,131.364,spotify:track:5Qg8WtcgUcZQ0WROOfRb41,piano_classical
171,0.98,0.663,0.00217,0.943,0.103,-20.748,0.22,133.928,spotify:track:3LoJT61BAMHWfjU0e3hWm4,piano_classical
172,0.989,0.52,0.000496,0.888,0.0688,-27.592,0.336,80.691,spotify:track:3SzzaLrY16ZPxXE4JtCy8F,piano_classical
173,0.991,0.418,0.000752,0.913,0.0634,-28.013,0.18,85.5,spotify:track:3kdRVujx0vTZXenAuXXoj9,piano_classical
174,0.99,0.484,0.000478,0.89,0.0792,-27.544,0.253,130.709,spotify:track:2sEtLboDJjhYTHuB7YEyoI,piano_classical
175,0.995,0.527,0.00226,0.956,0.0898,-31.328,0.287,80.403,spotify:track:3XvXq6EyPVGXdtWw9C8edF,piano_classical
176,0.994,0.554,0.196,0.901,0.111,-22.119,0.0372,106.342,spotify:track:20O1GL7wagqDVV0JMv7CEo,piano_classical
177,0.991,0.384,0.184,0.833,0.105,-21.661,0.0363,124.005,spotify:track:2WQ7YfJxFBd1TqSR4gEHd5,piano_classical
178,0.99,0.4,0.229,0.878,0.113,-19.945,0.0331,106.674,spotify:track:2l5MAeQcVxr6r4XxwFL65C,piano_classical
179,0.995,0.54,0.0782,0.876,0.114,-20.018,0.0542,89.431,spotify:track:2wb6W6dNadPB7jpmAB3GFc,piano_classical
180,0.993,0.548,0.142,0.904,0.0947,-24.199,0.0362,100.965,spotify:track:36vL00lurGuX45z5sg4LiL,piano_classical
181,0.993,0.379,0.0457,0.858,0.173,-26.429,0.0955,118.618,spotify:track:2Rn1icS5LprsLTZtiL7Olb,piano_classical
182,0.992,0.627,0.0635,0.925,0.108,-22.268,0.0483,105.11,spotify:track:73x40eagmKFMgPA8sM6aJM,piano_classical
183,0.988,0.445,0.169,0.864,0.175,-21.149,0.0545,170.236,spotify:track:2ORsXTyIzSjT1Dsr3jw5If,piano_classical
184,0.99,0.464,0.079,0.928,0.137,-27.643,0.0531,184.254,spotify:track:5vOjAlKv3DXDE0fFiYjWjU,piano_classical
185,0.989,0.0,0.153,0.7,0.137,-20.62,0.0,0.0,spotify:track:3HpnryGUjTxb8QPfHzgTfy,piano_classical
186,0.986,0.695,0.127,0.879,0.131,-20.42,0.0671,103.534,spotify:track:5l0BUku0li52rIX6YmToNd,piano_classical
187,0.995,0.794,0.271,0.872,0.137,-17.943,0.094,117.233,spotify:track:4MyXYGZ1uEVRuBLYdwIXvy,piano_classical
188,0.996,0.661,0.036,0.96,0.0822,-34.597,0.0773,104.776,spotify:track:7AuBzgiMu2KUcMj0JArAuZ,piano_classical
189,0.989,0.454,0.109,0.915,0.141,-22.48,0.0615,99.273,spotify:track:44kREoKPbVxM2FtUMxCSSz,piano_classical
190,0.993,0.367,0.116,0.944,0.124,-22.029,0.0529,177.936,spotify:track:22MT1SgocQUWep6t9JWw4h,piano_classical
191,0.991,0.542,0.13,0.949,0.119,-22.564,0.108,82.81,spotify:track:1TPVCfz2OcyEfxaUoaswUE,piano_classical
192,0.991,0.444,0.0766,0.894,0.15,-24.772,0.0506,89.91,spotify:track:725Aml9YUd6w48DNqJYUsJ,piano_classical
193,0.995,0.752,0.116,0.917,0.0943,-28.179,0.0562,106.383,spotify:track:1OyoQfZd7T1yivhB7gWuGv,piano_classical
194,0.993,0.488,0.13,0.888,0.0816,-23.108,0.0347,98.004,spotify:track:34MaEzuBBU0Wa9culpGrRV,piano_classical
